Threshold,Accuracy,Precision,Recall,F1 Score,Method,Category
0.58,0.5,0.5,0.25,0.3333333333333333,lin,Safe
0.59,0.5,0.5,0.25,0.3333333333333333,lin,Safe
0.6,0.5,0.5,0.25,0.3333333333333333,lin,Safe
0.61,0.5,0.5,0.25,0.3333333333333333,lin,Safe
0.62,0.5,0.5,0.25,0.3333333333333333,lin,Safe
0.63,0.5,0.5,0.25,0.3333333333333333,lin,Safe
0.64,0.5,0.5,0.25,0.3333333333333333,lin,Safe
0.65,0.625,1.0,0.25,0.4,lin,Safe
0.66,0.625,1.0,0.25,0.4,lin,Safe
0.67,0.625,1.0,0.25,0.4,lin,Safe
0.68,0.5,0.0,0.0,0.0,lin,Safe
0.6900000000000001,0.5,0.0,0.0,0.0,lin,Safe
0.7000000000000001,0.5,0.0,0.0,0.0,lin,Safe
0.71,0.5,0.0,0.0,0.0,lin,Safe
0.72,0.5,0.0,0.0,0.0,lin,Safe
0.73,0.5,0.0,0.0,0.0,lin,Safe
0.74,0.5,0.0,0.0,0.0,lin,Safe
0.75,0.5,0.0,0.0,0.0,lin,Safe
0.76,0.5,0.0,0.0,0.0,lin,Safe
0.77,0.5,0.0,0.0,0.0,lin,Safe
0.78,0.5,0.0,0.0,0.0,lin,Safe
0.79,0.5,0.0,0.0,0.0,lin,Safe
0.8,0.5,0.0,0.0,0.0,lin,Safe
0.81,0.5,0.0,0.0,0.0,lin,Safe
0.8200000000000001,0.5,0.0,0.0,0.0,lin,Safe
0.8300000000000001,0.5,0.0,0.0,0.0,lin,Safe
0.84,0.5,0.0,0.0,0.0,lin,Safe
0.85,0.5,0.0,0.0,0.0,lin,Safe
0.86,0.5,0.0,0.0,0.0,lin,Safe
0.87,0.5,0.0,0.0,0.0,lin,Safe
0.88,0.5,0.0,0.0,0.0,lin,Safe
0.89,0.5,0.0,0.0,0.0,lin,Safe
0.9,0.5,0.0,0.0,0.0,lin,Safe
0.91,0.5,0.0,0.0,0.0,lin,Safe
0.92,0.5,0.0,0.0,0.0,lin,Safe
0.93,0.5,0.0,0.0,0.0,lin,Safe
0.9400000000000001,0.5,0.0,0.0,0.0,lin,Safe
0.9500000000000001,0.5,0.0,0.0,0.0,lin,Safe
0.96,0.5,0.0,0.0,0.0,lin,Safe
0.97,0.5,0.0,0.0,0.0,lin,Safe
0.98,0.5,0.0,0.0,0.0,lin,Safe
0.99,0.5,0.0,0.0,0.0,lin,Safe
1.0,0.5,0.0,0.0,0.0,lin,Safe
0.0,0.5,0.5,1.0,0.6666666666666666,path,Safe
0.01,0.75,0.6666666666666666,1.0,0.8,path,Safe
0.02,0.75,0.6666666666666666,1.0,0.8,path,Safe
0.03,0.75,0.6666666666666666,1.0,0.8,path,Safe
0.04,0.75,0.6666666666666666,1.0,0.8,path,Safe
0.05,0.75,0.6666666666666666,1.0,0.8,path,Safe
0.06,0.75,0.6666666666666666,1.0,0.8,path,Safe
0.07,0.75,0.6666666666666666,1.0,0.8,path,Safe
0.08,0.75,0.6666666666666666,1.0,0.8,path,Safe
0.09,0.75,0.6666666666666666,1.0,0.8,path,Safe
0.1,0.75,0.6666666666666666,1.0,0.8,path,Safe
0.11,0.75,0.6666666666666666,1.0,0.8,path,Safe
0.12,0.75,0.6666666666666666,1.0,0.8,path,Safe
0.13,0.75,0.6666666666666666,1.0,0.8,path,Safe
0.14,0.75,0.6666666666666666,1.0,0.8,path,Safe
0.15,0.75,0.6666666666666666,1.0,0.8,path,Safe
0.16,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.17,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.18,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.19,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.2,0.625,0.6,0.75,0.6666666666666665,path,Safe
